GENDER,ETHNICITY,PARENTAL LEVEL OF EDUCATION,LUNCH,TEST PREPARATION COURSE,MATH SCORE,READING SCORE,WRITING SCORE
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,73,86,82
FEMALE,GROUP C,BACHELOR'S DEGREE,STANDARD,NONE,65,72,74
MALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,NONE,27,34,36
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,71,79,71
MALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,43,45,50
FEMALE,GROUP B,SOME COLLEGE,STANDARD,NONE,79,86,92
MALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,78,81,82
MALE,GROUP B,SOME HIGH SCHOOL,STANDARD,COMPLETED,65,66,62
FEMALE,GROUP E,SOME COLLEGE,STANDARD,COMPLETED,63,72,70
FEMALE,GROUP D,SOME COLLEGE,FREE/REDUCED,NONE,58,67,62
FEMALE,GROUP D,BACHELOR'S DEGREE,STANDARD,NONE,65,67,62
MALE,GROUP B,SOME COLLEGE,STANDARD,NONE,79,67,67
MALE,GROUP D,BACHELOR'S DEGREE,STANDARD,COMPLETED,68,74,74
FEMALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,85,91,89
MALE,GROUP B,HIGH SCHOOL,STANDARD,COMPLETED,60,44,47
MALE,GROUP C,SOME COLLEGE,STANDARD,COMPLETED,98,86,90
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,58,67,72
FEMALE,GROUP D,MASTER'S DEGREE,STANDARD,NONE,87,100,100
MALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,66,63,64
FEMALE,GROUP B,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,52,76,70
FEMALE,GROUP B,SOME HIGH SCHOOL,STANDARD,NONE,70,64,72
FEMALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,77,89,98
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,62,55,49
MALE,GROUP A,ASSOCIATE'S DEGREE,STANDARD,NONE,54,53,47
FEMALE,GROUP D,SOME COLLEGE,STANDARD,NONE,51,58,54
FEMALE,GROUP E,BACHELOR'S DEGREE,STANDARD,COMPLETED,99,100,100
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,84,77,74
FEMALE,GROUP B,BACHELOR'S DEGREE,FREE/REDUCED,NONE,75,85,82
FEMALE,GROUP D,BACHELOR'S DEGREE,STANDARD,NONE,78,82,79
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,51,63,61
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,55,69,65
FEMALE,GROUP C,BACHELOR'S DEGREE,STANDARD,COMPLETED,79,92,89
MALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,91,89,92
FEMALE,GROUP C,SOME COLLEGE,STANDARD,COMPLETED,88,93,93
MALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,NONE,63,57,56
MALE,GROUP E,SOME COLLEGE,STANDARD,NONE,83,80,73
FEMALE,GROUP B,HIGH SCHOOL,STANDARD,NONE,87,95,86
MALE,GROUP B,SOME HIGH SCHOOL,STANDARD,NONE,72,68,67
MALE,GROUP D,SOME COLLEGE,STANDARD,COMPLETED,65,77,74
MALE,GROUP D,MASTER'S DEGREE,STANDARD,NONE,82,82,74
FEMALE,GROUP A,BACHELOR'S DEGREE,STANDARD,NONE,51,49,51
MALE,GROUP D,MASTER'S DEGREE,STANDARD,NONE,89,84,82
MALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,53,37,40
MALE,GROUP E,SOME COLLEGE,FREE/REDUCED,COMPLETED,87,74,70
FEMALE,GROUP C,SOME COLLEGE,STANDARD,COMPLETED,75,81,84
MALE,GROUP D,BACHELOR'S DEGREE,FREE/REDUCED,COMPLETED,74,79,75
MALE,GROUP C,BACHELOR'S DEGREE,STANDARD,NONE,58,55,48
MALE,GROUP B,SOME HIGH SCHOOL,STANDARD,COMPLETED,51,54,41
MALE,GROUP E,HIGH SCHOOL,STANDARD,NONE,70,55,56
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,59,66,67
MALE,GROUP D,SOME COLLEGE,STANDARD,COMPLETED,71,61,69
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,76,72,71
FEMALE,GROUP C,SOME COLLEGE,FREE/REDUCED,NONE,59,62,64
FEMALE,GROUP E,SOME COLLEGE,FREE/REDUCED,COMPLETED,42,55,54
MALE,GROUP A,HIGH SCHOOL,STANDARD,NONE,57,43,47
MALE,GROUP D,SOME COLLEGE,STANDARD,NONE,88,73,78
FEMALE,GROUP C,SOME COLLEGE,FREE/REDUCED,NONE,22,39,33
MALE,GROUP B,SOME HIGH SCHOOL,STANDARD,NONE,88,84,75
MALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,73,68,66
FEMALE,GROUP D,BACHELOR'S DEGREE,STANDARD,COMPLETED,68,75,81
MALE,GROUP E,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,100,100,93
MALE,GROUP A,SOME HIGH SCHOOL,STANDARD,COMPLETED,62,67,69
MALE,GROUP A,BACHELOR'S DEGREE,STANDARD,NONE,77,67,68
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,59,70,66
MALE,GROUP D,BACHELOR'S DEGREE,STANDARD,NONE,54,49,47
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,62,67,61
FEMALE,GROUP C,SOME COLLEGE,STANDARD,COMPLETED,70,89,88
FEMALE,GROUP E,HIGH SCHOOL,FREE/REDUCED,COMPLETED,66,74,78
MALE,GROUP B,SOME COLLEGE,FREE/REDUCED,NONE,60,60,60
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,61,86,87
MALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,66,62,64
MALE,GROUP B,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,82,78,74
FEMALE,GROUP E,SOME COLLEGE,FREE/REDUCED,COMPLETED,75,88,85
MALE,GROUP B,MASTER'S DEGREE,FREE/REDUCED,NONE,49,53,52
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,52,53,49
FEMALE,GROUP E,MASTER'S DEGREE,STANDARD,NONE,81,92,91
FEMALE,GROUP C,BACHELOR'S DEGREE,STANDARD,COMPLETED,96,100,100
MALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,COMPLETED,53,51,51
FEMALE,GROUP B,MASTER'S DEGREE,FREE/REDUCED,COMPLETED,58,76,78
FEMALE,GROUP B,HIGH SCHOOL,STANDARD,COMPLETED,68,83,78
FEMALE,GROUP C,SOME COLLEGE,FREE/REDUCED,COMPLETED,67,75,70
MALE,GROUP A,HIGH SCHOOL,STANDARD,COMPLETED,72,73,74
MALE,GROUP E,SOME HIGH SCHOOL,STANDARD,NONE,94,88,78
FEMALE,GROUP D,SOME COLLEGE,STANDARD,NONE,79,86,81
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,63,67,70
FEMALE,GROUP C,BACHELOR'S DEGREE,FREE/REDUCED,COMPLETED,43,51,54
FEMALE,GROUP C,MASTER'S DEGREE,STANDARD,COMPLETED,81,91,87
FEMALE,GROUP B,HIGH SCHOOL,FREE/REDUCED,COMPLETED,46,54,58
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,71,77,77
FEMALE,GROUP B,MASTER'S DEGREE,FREE/REDUCED,COMPLETED,52,70,62
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,COMPLETED,97,100,100
MALE,GROUP C,MASTER'S DEGREE,FREE/REDUCED,COMPLETED,62,68,75
FEMALE,GROUP C,SOME COLLEGE,FREE/REDUCED,NONE,46,64,66
FEMALE,GROUP E,HIGH SCHOOL,STANDARD,NONE,50,50,47
FEMALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,65,69,70
MALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,45,52,49
MALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,65,67,65
MALE,GROUP E,HIGH SCHOOL,STANDARD,NONE,80,76,65
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,COMPLETED,62,66,68
MALE,GROUP B,SOME HIGH SCHOOL,FREE/REDUCED,NONE,48,52,45
FEMALE,GROUP C,BACHELOR'S DEGREE,STANDARD,NONE,77,88,87
FEMALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,NONE,66,65,69
MALE,GROUP D,SOME COLLEGE,STANDARD,COMPLETED,76,83,79
FEMALE,GROUP B,SOME HIGH SCHOOL,STANDARD,NONE,62,64,66
MALE,GROUP D,SOME COLLEGE,STANDARD,COMPLETED,77,62,62
FEMALE,GROUP C,MASTER'S DEGREE,STANDARD,COMPLETED,69,84,85
MALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,61,55,52
MALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,59,69,65
MALE,GROUP E,HIGH SCHOOL,FREE/REDUCED,NONE,55,56,51
FEMALE,GROUP B,SOME COLLEGE,FREE/REDUCED,NONE,45,53,55
FEMALE,GROUP B,BACHELOR'S DEGREE,FREE/REDUCED,NONE,78,79,76
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,67,84,86
FEMALE,GROUP D,SOME COLLEGE,FREE/REDUCED,NONE,65,81,77
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,69,77,69
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,57,69,68
MALE,GROUP C,SOME COLLEGE,STANDARD,NONE,59,41,42
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,COMPLETED,74,71,78
MALE,GROUP E,BACHELOR'S DEGREE,STANDARD,NONE,82,62,62
MALE,GROUP E,HIGH SCHOOL,STANDARD,COMPLETED,81,80,76
FEMALE,GROUP B,SOME COLLEGE,FREE/REDUCED,NONE,74,81,76
FEMALE,GROUP B,SOME COLLEGE,FREE/REDUCED,NONE,58,61,66
MALE,GROUP D,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,80,79,79
MALE,GROUP C,SOME COLLEGE,FREE/REDUCED,NONE,35,28,27
FEMALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,NONE,42,62,60
MALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,60,51,56
MALE,GROUP E,HIGH SCHOOL,STANDARD,COMPLETED,87,91,81
MALE,GROUP B,SOME HIGH SCHOOL,STANDARD,COMPLETED,84,83,75
FEMALE,GROUP E,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,83,86,88
FEMALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,NONE,34,42,39
MALE,GROUP B,HIGH SCHOOL,FREE/REDUCED,NONE,66,77,70
MALE,GROUP B,SOME HIGH SCHOOL,STANDARD,COMPLETED,61,56,56
FEMALE,GROUP D,HIGH SCHOOL,STANDARD,COMPLETED,56,68,74
MALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,87,85,73
FEMALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,NONE,55,65,62
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,86,80,75
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,52,66,73
FEMALE,GROUP E,MASTER'S DEGREE,FREE/REDUCED,NONE,45,56,54
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,72,72,71
MALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,57,50,54
MALE,GROUP A,SOME HIGH SCHOOL,FREE/REDUCED,NONE,68,72,64
FEMALE,GROUP C,SOME COLLEGE,STANDARD,COMPLETED,88,95,94
MALE,GROUP D,SOME COLLEGE,STANDARD,NONE,76,64,66
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,46,43,42
FEMALE,GROUP B,BACHELOR'S DEGREE,STANDARD,NONE,67,86,83
MALE,GROUP E,SOME HIGH SCHOOL,STANDARD,NONE,92,87,78
MALE,GROUP C,BACHELOR'S DEGREE,STANDARD,COMPLETED,83,82,84
MALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,80,75,77
MALE,GROUP D,BACHELOR'S DEGREE,FREE/REDUCED,NONE,63,66,67
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,COMPLETED,64,60,74
MALE,GROUP B,SOME COLLEGE,STANDARD,NONE,54,52,51
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,84,80,80
MALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,COMPLETED,73,68,66
FEMALE,GROUP E,BACHELOR'S DEGREE,STANDARD,NONE,80,83,83
FEMALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,56,52,55
MALE,GROUP E,SOME COLLEGE,STANDARD,NONE,59,51,43
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,75,74,69
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,85,76,71
MALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,NONE,89,76,74
FEMALE,GROUP B,HIGH SCHOOL,STANDARD,COMPLETED,58,70,68
FEMALE,GROUP B,HIGH SCHOOL,STANDARD,NONE,65,64,62
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,68,60,53
MALE,GROUP A,SOME HIGH SCHOOL,STANDARD,COMPLETED,47,49,49
FEMALE,GROUP D,SOME COLLEGE,FREE/REDUCED,NONE,71,83,83
FEMALE,GROUP B,SOME HIGH SCHOOL,STANDARD,COMPLETED,60,70,70
MALE,GROUP D,MASTER'S DEGREE,STANDARD,NONE,80,80,72
MALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,54,52,52
FEMALE,GROUP E,SOME COLLEGE,STANDARD,NONE,62,73,70
FEMALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,64,73,68
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,78,77,77
FEMALE,GROUP B,SOME COLLEGE,STANDARD,NONE,70,75,78
FEMALE,GROUP C,MASTER'S DEGREE,FREE/REDUCED,COMPLETED,65,81,81
FEMALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,64,79,77
MALE,GROUP C,SOME COLLEGE,STANDARD,COMPLETED,79,79,78
FEMALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,NONE,44,50,51
FEMALE,GROUP E,HIGH SCHOOL,STANDARD,NONE,99,93,90
MALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,76,73,68
MALE,GROUP D,SOME HIGH SCHOOL,FREE/REDUCED,NONE,59,42,41
FEMALE,GROUP C,BACHELOR'S DEGREE,STANDARD,NONE,63,75,81
FEMALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,69,72,77
FEMALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,88,92,95
FEMALE,GROUP E,SOME COLLEGE,FREE/REDUCED,NONE,71,76,70
MALE,GROUP C,BACHELOR'S DEGREE,STANDARD,NONE,69,63,61
MALE,GROUP C,SOME COLLEGE,STANDARD,NONE,58,49,42
FEMALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,47,53,58
FEMALE,GROUP D,SOME COLLEGE,STANDARD,NONE,65,70,71
MALE,GROUP B,SOME COLLEGE,STANDARD,COMPLETED,88,85,76
MALE,GROUP C,BACHELOR'S DEGREE,STANDARD,NONE,83,78,73
FEMALE,GROUP C,SOME HIGH SCHOOL,STANDARD,COMPLETED,85,92,93
FEMALE,GROUP E,HIGH SCHOOL,STANDARD,COMPLETED,59,63,75
FEMALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,NONE,65,86,80
MALE,GROUP B,BACHELOR'S DEGREE,FREE/REDUCED,NONE,73,56,57
MALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,53,52,42
MALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,45,48,46
FEMALE,GROUP D,BACHELOR'S DEGREE,FREE/REDUCED,NONE,73,79,84
FEMALE,GROUP D,SOME COLLEGE,FREE/REDUCED,COMPLETED,70,78,78
FEMALE,GROUP B,SOME HIGH SCHOOL,STANDARD,NONE,37,46,46
MALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,81,82,82
MALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,97,82,88
FEMALE,GROUP B,SOME HIGH SCHOOL,STANDARD,NONE,67,89,82
MALE,GROUP B,BACHELOR'S DEGREE,FREE/REDUCED,NONE,88,75,76
MALE,GROUP E,SOME HIGH SCHOOL,STANDARD,COMPLETED,77,76,77
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,76,70,68
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,86,73,70
MALE,GROUP C,SOME HIGH SCHOOL,STANDARD,COMPLETED,63,60,57
FEMALE,GROUP E,BACHELOR'S DEGREE,STANDARD,NONE,65,73,75
MALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,COMPLETED,78,77,80
MALE,GROUP B,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,67,62,60
MALE,GROUP A,SOME HIGH SCHOOL,STANDARD,COMPLETED,46,41,43
MALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,71,74,68
MALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,COMPLETED,40,46,50
MALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,90,87,75
MALE,GROUP A,SOME COLLEGE,FREE/REDUCED,COMPLETED,81,78,81
MALE,GROUP D,SOME HIGH SCHOOL,FREE/REDUCED,NONE,56,54,52
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,67,84,81
MALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,80,76,64
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,74,75,83
MALE,GROUP A,SOME COLLEGE,STANDARD,NONE,69,67,69
MALE,GROUP E,SOME COLLEGE,STANDARD,COMPLETED,99,87,81
MALE,GROUP C,SOME HIGH SCHOOL,STANDARD,NONE,51,52,44
FEMALE,GROUP B,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,53,71,67
FEMALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,NONE,49,57,52
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,73,76,80
MALE,GROUP B,BACHELOR'S DEGREE,STANDARD,NONE,66,60,57
MALE,GROUP D,BACHELOR'S DEGREE,STANDARD,COMPLETED,67,61,68
FEMALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,68,67,69
FEMALE,GROUP C,BACHELOR'S DEGREE,STANDARD,COMPLETED,59,64,75
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,71,66,65
FEMALE,GROUP D,MASTER'S DEGREE,STANDARD,COMPLETED,77,82,91
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,83,72,78
MALE,GROUP B,BACHELOR'S DEGREE,STANDARD,NONE,63,71,69
FEMALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,56,65,63
FEMALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,COMPLETED,67,79,84
FEMALE,GROUP E,HIGH SCHOOL,STANDARD,NONE,75,86,79
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,71,81,80
FEMALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,NONE,43,53,53
FEMALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,NONE,41,46,43
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,82,90,94
